"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.438147029,       2.029559331,       1.392688724,       4.458516308
          0,           0,           1,      -1.124409072,       1.867783104,       1.354670828,       4.809024186
          0,           0,           2,      -1.205686622,       1.773824766,       1.384857749,       4.728658223
          0,           0,           3,      -1.311149028,        1.66157873,       1.340173319,       4.623375843
          0,           0,           4,      -1.383093687,       1.584356575,       1.301816546,       4.545526239
          0,           0,           5,      -1.424955932,       1.538618453,       1.282944042,       4.503873182
          0,           0,           6,      -1.467098464,        1.49568235,       1.242522833,        4.46035513
          0,           0,           7,      -1.513720674,       1.448895669,       1.192221071,       4.412509802
          0,           0,           8,      -1.566161225,       1.396291391,       1.132818451,       4.358187851
          0,           0,           9,      -1.623575509,       1.338257427,       1.066977859,       4.298114148
          0,           0,          10,       -1.68084724,       1.280492599,       1.002626394,       4.237659985
          0,           0,          11,      -1.722056021,       1.239707763,      0.9645861853,       4.193547891
          0,           0,          12,      -1.926535897,       1.019264482,      0.7677103945,       3.974542799
          0,           0,          13,      -1.904608631,       1.056965678,      0.7960927969,       4.013558823
          0,           0,          14,      -1.893669279,       1.070924484,      0.8117993086,       4.027596892
          0,           0,          15,      -2.165664484,      0.7776990231,      0.5513387914,        3.74024401
          0,           0,          16,      -2.261786588,      0.6899341499,      0.4722176667,       3.656153011
          0,           0,          17,      -2.550554855,      0.3783493807,      0.1792566111,        3.34569147
          0,           0,          18,      -2.729889089,      0.2085284338,    0.007945907796,       3.175741345
          0,           0,          19,       -2.83027127,      0.1163091333,    -0.09839175856,       3.078089585
          0,           0,          20,      -3.201579704,     -0.2777662168,     -0.4797901596,       2.683316942
          0,           0,          21,      -3.445079062,     -0.5168167531,     -0.7195345416,       2.444807442
          0,           0,          22,      -3.610201023,     -0.6751511406,     -0.8878719723,       2.282002311
          0,           0,          23,      -3.979535851,      -1.053742975,      -1.281317158,       1.887727753
          0,           0,          24,      -4.322172302,      -1.390462846,      -1.634222434,       1.539947281
          0,           0,          25,      -4.639132273,      -1.674753361,      -1.986651197,       1.222066986
          0,           0,          26,      -5.038830016,      -2.017128298,      -2.485225892,      0.8203981599
          0,           0,          27,      -5.232982826,      -2.168517627,      -2.703051958,      0.6477705412
          0,           0,          28,      -5.505027954,      -2.409732317,       -3.00219648,      0.3974949885
          0,           0,          29,      -5.866344382,      -2.752101509,      -3.371281575,     0.05798568811
          0,           0,          30,      -6.252962071,      -3.122132722,      -3.749847582,     -0.3086136224
          0,           0,          31,      -6.656346995,      -3.515527277,      -4.139819979,     -0.6950521515
          0,           0,          32,      -7.087615947,      -3.936252236,      -4.559501933,      -1.109851861
          0,           0,          33,      -7.537643605,      -4.378619156,      -4.998282059,      -1.545169299
          0,           0,          34,      -8.011565187,      -4.843817844,      -5.460803919,      -2.004668806
          0,           0,          35,      -8.494956251,      -5.326344017,      -5.935892091,      -2.479083532
          0,           0,          36,       -8.99003472,      -5.826136579,      -6.427452751,      -2.969028488
          0,           0,          37,      -9.499884251,      -6.342940471,      -6.933628192,      -3.476012716
          0,           0,          38,      -9.999916834,       -6.86797999,      -7.438685489,      -3.986275442
          0,           0,          39,      -10.49637515,      -7.400161931,      -7.946385472,      -4.499277735
          0,           0,          40,      -11.00198182,      -7.942421732,      -8.461591092,      -5.021731036
          0,           0,          41,      -11.48416746,      -8.472621792,      -8.957426733,      -5.528763532
          0,           0,          42,      -11.96571364,      -8.994889651,      -9.449842451,      -6.028580499
          0,           0,          43,      -12.45524079,      -9.511268548,      -9.946957598,      -6.528812171
          0,           0,          44,      -12.95186924,      -10.02537739,      -10.44944204,      -7.032972595
          0,           0,          45,      -13.44939665,      -10.53353339,      -10.95068923,      -7.535801844
          0,           0,          46,      -13.94317287,      -11.02428617,      -11.44455354,      -8.030284607
          0,           0,          47,      -14.39094126,      -11.41108777,      -11.88655625,      -8.459746369
          0,           0,          48,      -14.62678276,      -11.55524659,      -12.09856418,      -8.661125527
          0,           0,          49,      -14.67173644,       -11.5699656,      -12.14305125,      -8.689249284
          0,           0,          50,      -14.67225524,      -11.56364732,      -12.14207088,      -8.691130172
          0,           0,          51,      -14.68929892,      -11.57674951,      -12.16487917,      -8.701133067
          0,           0,          52,       -14.6778243,      -11.56753115,      -12.14892104,      -8.697180547
          0,           0,          53,      -14.68561547,      -11.57302884,      -12.15331696,       -8.69976738
          0,           0,          54,      -14.69514822,      -11.58403551,      -12.17068297,      -8.705998539
          0,           0,          55,      -14.68643498,      -11.57688454,      -12.16224091,      -8.698516994
          0,           0,          56,       -14.6825151,      -11.57059626,      -12.15266889,      -8.699603966
          0,           0,          57,      -14.69128356,      -11.58076063,      -12.16012829,      -8.702570846
          0,           0,          58,       -14.6833612,      -11.57281683,      -12.15502007,      -8.699835395
          0,           0,          59,      -14.67737801,       -11.5637049,      -12.14470716,      -8.689992424
          0,           0,          60,      -14.69096646,      -11.57812003,      -12.16620604,      -8.699901768
          0,           0,          61,      -14.68178342,      -11.57015512,      -12.15087313,      -8.695570649
          0,           0,          62,      -14.68732497,      -11.57519639,      -12.15891102,      -8.699403769
          0,           0,          63,      -14.67663542,      -11.56440294,      -12.14510369,      -8.695446054
          0,           0,          64,       -14.6891803,      -11.57674653,      -12.16229083,      -8.699582142
          0,           0,          65,      -14.68115268,      -11.56696131,      -12.15341324,      -8.692877777
          0,           0,          66,      -14.69006284,      -11.57941665,      -12.16691855,      -8.705082708
          0,           0,          67,      -14.68478314,      -11.57447636,      -12.15970253,      -8.699025003
          0,           0,          68,      -14.67946264,      -11.56558187,      -12.15304813,      -8.696672795
          0,           0,          69,      -14.69051229,       -11.5785899,      -12.16383121,      -8.702758807
          0,           0,          70,      -14.68563951,      -11.56993905,      -12.15531262,      -8.700834344
          0,           0,          71,      -14.67672975,      -11.56475102,      -12.14563524,      -8.694441452
          0,           0,          72,       -14.6881012,      -11.57525924,       -12.1628392,      -8.703648846
          0,           0,          73,      -14.68049987,      -11.56510601,      -12.15057657,      -8.692273686
          0,           0,          74,      -14.68057009,      -11.56603452,      -12.14983144,       -8.69431461
          0,           0,          75,      -14.68121214,      -11.56586341,      -12.15365577,      -8.697079068
          0,           0,          76,      -14.67978251,      -11.56691174,      -12.14800034,      -8.695491537
          0,           0,          77,      -14.68128057,      -11.56868594,      -12.15236262,      -8.695372155
          0,           0,          78,      -14.69322831,      -11.58139651,      -12.16833384,      -8.704069019
          0,           0,          79,      -14.68103392,      -11.56976621,      -12.15622137,      -8.698693386
          0,           0,          80,      -14.67941492,      -11.56649096,      -12.15610355,      -8.693416696
          0,           0,          81,      -14.69232351,      -11.58383686,      -12.16395616,      -8.703820201
          0,           0,          82,      -14.68724888,      -11.57270469,      -12.16044188,      -8.701574687
          0,           0,          83,      -14.67983186,       -11.5668052,      -12.14535175,      -8.691596631
          0,           0,          84,      -14.69290204,      -11.58011701,      -12.16568823,       -8.70352523
          0,           0,          85,      -14.67924246,      -11.56657888,       -12.1479003,       -8.69404334
          0,           0,          86,      -14.67508305,      -11.56606903,      -12.14041892,        -8.6922455
          0,           0,          87,      -14.68666572,      -11.57597423,      -12.15490742,      -8.699711956
          0,           0,          88,      -14.68095389,      -11.57089189,      -12.14912762,      -8.692205539
          0,           0,          89,      -14.69185768,      -11.58109835,      -12.16731516,      -8.704046342
          0,           0,          90,      -14.68426215,      -11.57971256,      -12.16112244,      -8.700623654
          0,           0,          91,      -14.67782944,      -11.56527767,      -12.14901658,      -8.691457643
          0,           0,          92,      -14.68792521,      -11.57752907,      -12.16308776,      -8.702709159
          0,           0,          93,       -14.6839407,      -11.57297464,       -12.1555651,      -8.699097946
          0,           0,          94,       -14.6777931,      -11.56363448,      -12.14543662,      -8.692371624
          0,           0,          95,      -14.68638162,      -11.57393791,       -12.1613465,      -8.700973597
          0,           0,          96,      -14.67967687,      -11.57056524,        -12.152387,      -8.697653123
          0,           0,          97,       -14.6769392,      -11.56565638,      -12.14718979,      -8.697480097
          0,           0,          98,      -14.68023621,      -11.57051763,      -12.14988169,      -8.694751868
          0,           0,          99,      -14.69407518,       -11.5851882,      -12.17762508,      -8.706125408
          0,           0,         100,      -14.68355006,      -11.57406214,      -12.15543197,      -8.699454813
          0,           0,         101,       -14.6770634,      -11.56687408,      -12.14653107,      -8.694947487
          0,           0,         102,      -14.69129517,      -11.58143235,       -12.1635336,      -8.700539271
          0,           0,         103,      -14.68577217,      -11.57400954,      -12.15868316,      -8.700478617
          0,           0,         104,      -14.67819774,      -11.56629281,      -12.15191186,      -8.694227563
          0,           0,         105,      -14.68880975,      -11.57734634,      -12.16509894,       -8.70489077
          0,           0,         106,      -14.68446359,      -11.57203894,      -12.15650016,       -8.69630072
          0,           0,         107,      -14.68551173,      -11.57179495,      -12.15670687,      -8.696669068
          0,           0,         108,      -14.68324673,      -11.56872922,      -12.15069553,       -8.69521788
          0,           0,         109,      -14.67279488,       -11.5610637,       -12.1439548,      -8.689233367
          0,           0,         110,      -14.68661857,      -11.57557892,      -12.15981369,      -8.701458209
          0,           0,         111,       -14.6793047,      -11.56711154,      -12.15224109,      -8.694370772
          0,           0,         112,      -14.69455628,      -11.58320129,      -12.17087927,      -8.702868059
          0,           0,         113,      -14.68703429,       -11.5769968,      -12.16039168,      -8.698709327
          0,           0,         114,       -14.6809975,      -11.57225846,      -12.15028732,      -8.695501543
          0,           0,         115,      -14.69020767,      -11.57920579,      -12.16582098,      -8.703954109
          0,           0,         116,      -14.68267476,      -11.57161711,       -12.1574428,      -8.695744492
          0,           0,         117,      -14.67855049,      -11.56606331,      -12.15012464,      -8.691250261
          0,           0,         118,      -14.68618438,      -11.57241803,      -12.15389962,      -8.698172622
          0,           0,         119,      -14.68229626,      -11.57124808,      -12.15718319,      -8.696638231
          0,           0,         120,       -14.6893327,      -11.57792311,      -12.16677623,      -8.701622038
          0,           0,         121,      -14.68287565,      -11.57066752,      -12.15172318,      -8.694660706
          0,           0,         122,      -14.68032318,      -11.56683053,      -12.15493255,       -8.69404888
          0,           0,         123,      -14.69028616,      -11.57765821,      -12.16835505,      -8.700967019
          0,           0,         124,      -14.68524101,      -11.57447587,      -12.15676764,      -8.700081297
          0,           0,         125,      -14.67050727,      -11.55898044,      -12.14305569,      -8.690577903
          0,           0,         126,      -14.68794514,      -11.57546734,      -12.16262537,      -8.703129104
          0,           0,         127,      -14.68132513,      -11.56873192,      -12.15463499,      -8.696367826
          0,           0,         128,      -14.69375269,      -11.58189082,      -12.17198649,      -8.704989761
          0,           0,         129,      -14.69043445,       -11.5753878,      -12.16109357,       -8.70127146
