"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          65, -0.2751095895, 0.0999752559, 0.0000000000, 0.0000000000, 0.0000000000, -0.2879783387, 0.0999752559, -0.2751095895, 0.0000000000, -2.7517767965, -1.4024872662, 1.5012556117, 1.3686780658, 4.5086199064, 0.0000000000, 4.0000000000, 2.2910744546, 0.1083436500
          66, -0.2756467111, 0.1001707519, 0.0000000000, 0.0000000000, 0.0000000000, -0.2886257331, 0.1001707519, -0.2756467111, 0.0000000000, -2.7517684145, -1.4156118360, 1.4874778006, 1.3544785419, 4.4942524395, 0.0000000000, 4.0000000000, 2.3274199174, 0.1101295833
          67, -0.2761944282, 0.1003701044, 0.0000000000, 0.0000000000, 0.0000000000, -0.2892953327, 0.1003701044, -0.2761944282, 0.0000000000, -2.7517598964, -1.4286410807, 1.4739542194, 1.3407365946, 4.4802067022, 0.0000000000, 4.0000000000, 2.3628547828, 0.1119147000
          68, -0.2767510597, 0.1005727017, 0.0000000000, 0.0000000000, 0.0000000000, -0.2899847451, 0.1005727017, -0.2767510597, 0.0000000000, -2.7517512712, -1.4424408381, 1.4597130635, 1.3262622811, 4.4654559363, 0.0000000000, 4.0000000000, 2.3985658928, 0.1137057000
          69, -0.2773155664, 0.1007781653, 0.0000000000, 0.0000000000, 0.0000000000, -0.2906923865, 0.1007781653, -0.2773155664, 0.0000000000, -2.7517425573, -1.4562556844, 1.4453275977, 1.3122397504, 4.4510321157, 0.0000000000, 4.0000000000, 2.4369775732, 0.1154930833
          70, -0.2778864742, 0.1009859588, 0.0000000000, 0.0000000000, 0.0000000000, -0.2914161366, 0.1009859588, -0.2778864742, 0.0000000000, -2.7517337795, -1.4712433010, 1.4286411392, 1.2973910717, 4.4347853933, 0.0000000000, 4.0000000000, 2.4760474075, 0.1172735833
          71, -0.2784631291, 0.1011958441, 0.0000000000, 0.0000000000, 0.0000000000, -0.2921549305, 0.1011958441, -0.2784631291, 0.0000000000, -2.7517249495, -1.4862814249, 1.4126827865, 1.2817231216, 4.4185422856, 0.0000000000, 4.0000000000, 2.5191426685, 0.1190568167
          72, -0.2790441524, 0.1014073194, 0.0000000000, 0.0000000000, 0.0000000000, -0.2929067818, 0.1014073194, -0.2790441524, 0.0000000000, -2.7517160895, -1.5015408523, 1.3967453135, 1.2659922557, 4.4024177545, 0.0000000000, 4.0000000000, 2.5631370353, 0.1208465333
          73, -0.2796282936, 0.1016199295, 0.0000000000, 0.0000000000, 0.0000000000, -0.2936698588, 0.1016199295, -0.2796282936, 0.0000000000, -2.7517072195, -1.5182247514, 1.3782576417, 1.2493159197, 4.3843983055, 0.0000000000, 4.0000000000, 2.6085642594, 0.1226416833
          74, -0.2802151064, 0.1018335119, 0.0000000000, 0.0000000000, 0.0000000000, -0.2944433858, 0.1018335119, -0.2802151064, 0.0000000000, -2.7516983465, -1.5348471137, 1.3605250421, 1.2323238853, 4.3666419184, 0.0000000000, 4.0000000000, 2.6591539982, 0.1244370333
          75, -0.2808031037, 0.1020475255, 0.0000000000, 0.0000000000, 0.0000000000, -0.2952252089, 0.1020475255, -0.2808031037, 0.0000000000, -2.7516894934, -1.5518483320, 1.3423604537, 1.2149192897, 4.3484928978, 0.0000000000, 4.0000000000, 2.7105328203, 0.1262270333
          76, -0.2813910732, 0.1022615289, 0.0000000000, 0.0000000000, 0.0000000000, -0.2960135172, 0.1022615289, -0.2813910732, 0.0000000000, -2.7516806782, -1.5691892702, 1.3239111806, 1.1971878098, 4.3301132962, 0.0000000000, 4.0000000000, 2.7641097281, 0.1280131833
          77, -0.2819777445, 0.1024750598, 0.0000000000, 0.0000000000, 0.0000000000, -0.2968064010, 0.1024750598, -0.2819777445, 0.0000000000, -2.7516719194, -1.5870162419, 1.3047974104, 1.1792821628, 4.3112407275, 0.0000000000, 4.0000000000, 2.8198483222, 0.1297968667
          78, -0.2825619119, 0.1026876794, 0.0000000000, 0.0000000000, 0.0000000000, -0.2976020178, 0.1026876794, -0.2825619119, 0.0000000000, -2.7516632345, -1.6058397327, 1.2842600552, 1.1604381255, 4.2911443799, 0.0000000000, 4.0000000000, 2.8783210539, 0.1315849000
          79, -0.2831426692, 0.1028990577, 0.0000000000, 0.0000000000, 0.0000000000, -0.2983989194, 0.1028990577, -0.2831426692, 0.0000000000, -2.7516546361, -1.6248052491, 1.2640346524, 1.1410625323, 4.2710225614, 0.0000000000, 4.0000000000, 2.9413789481, 0.1333671833
          80, -0.2837185008, 0.1031086433, 0.0000000000, 0.0000000000, 0.0000000000, -0.2991948022, 0.1031086433, -0.2837185008, 0.0000000000, -2.7516461454, -1.6441522782, 1.2433391779, 1.1213271193, 4.2505034245, 0.0000000000, 4.0000000000, 3.0063098377, 0.1351538333
          81, -0.2842880289, 0.1033159345, 0.0000000000, 0.0000000000, 0.0000000000, -0.2999875249, 0.1033159345, -0.2842880289, 0.0000000000, -2.7516377816, -1.6642305259, 1.2217611269, 1.1008333235, 4.2291705709, 0.0000000000, 4.0000000000, 3.0740239906, 0.1369447167
          82, -0.2848500680, 0.1035205000, 0.0000000000, 0.0000000000, 0.0000000000, -0.3007751917, 0.1035205000, -0.2848500680, 0.0000000000, -2.7516295606, -1.6848462651, 1.1998796290, 1.0797840527, 4.2074086821, 0.0000000000, 4.0000000000, 3.1459105974, 0.1387270000
          83, -0.2854032607, 0.1037218457, 0.0000000000, 0.0000000000, 0.0000000000, -0.3015556438, 0.1037218457, -0.2854032607, 0.0000000000, -2.7516215006, -1.7064930352, 1.1764174679, 1.0579619249, 4.1843972590, 0.0000000000, 4.0000000000, 3.2214711472, 0.1405147333
          84, -0.2859464999, 0.1039195686, 0.0000000000, 0.0000000000, 0.0000000000, -0.3023270546, 0.1039195686, -0.2859464999, 0.0000000000, -2.7516136159, -1.7290699929, 1.1522308073, 1.0352175824, 4.1605810719, 0.0000000000, 4.0000000000, 3.3027646758, 0.1422947500
          85, -0.2864785328, 0.1041132127, 0.0000000000, 0.0000000000, 0.0000000000, -0.3030873711, 0.1041132127, -0.2864785328, 0.0000000000, -2.7516059229, -1.7523172812, 1.1274615644, 1.0116649627, 4.1361293610, 0.0000000000, 4.0000000000, 3.3897378278, 0.1440827000
          86, -0.2869978686, 0.1043022355, 0.0000000000, 0.0000000000, 0.0000000000, -0.3038341740, 0.1043022355, -0.2869978686, 0.0000000000, -2.7515984410, -1.7766013535, 1.1015224623, 0.9870286730, 4.1104853670, 0.0000000000, 5.0000000000, 3.4816872256, 0.1460027167
          87, -0.2875031549, 0.1044861447, 0.0000000000, 0.0000000000, 0.0000000000, -0.3045652149, 0.1044861447, -0.2875031549, 0.0000000000, -2.7515911875, -1.8018557186, 1.0747478887, 0.9613085406, 4.0840021401, 0.0000000000, 5.0000000000, 3.5804019930, 0.1479187000
          88, -0.2879929073, 0.1046644000, 0.0000000000, 0.0000000000, 0.0000000000, -0.3052780265, 0.1046644000, -0.2879929073, 0.0000000000, -2.7515841812, -1.8282241919, 1.0466787447, 0.9344736549, 4.0563329671, 0.0000000000, 5.0000000000, 3.6860309097, 0.1498347000
          89, -0.2884656272, 0.1048364560, 0.0000000000, 0.0000000000, 0.0000000000, -0.3059700912, 0.1048364560, -0.2884656272, 0.0000000000, -2.7515774412, -1.8558989440, 1.0173829296, 0.9063524315, 4.0273439775, 0.0000000000, 5.0000000000, 3.7996466354, 0.1517548833
          90, -0.2889198182, 0.1050017680, 0.0000000000, 0.0000000000, 0.0000000000, -0.3066388651, 0.1050017680, -0.2889198182, 0.0000000000, -2.7515709863, -1.8852922737, 0.9860463685, 0.8765133480, 3.9964089119, 0.0000000000, 5.0000000000, 3.9226592642, 0.1536743000
          91, -0.2893540795, 0.1051598261, 0.0000000000, 0.0000000000, 0.0000000000, -0.3072819176, 0.1051598261, -0.2893540795, 0.0000000000, -2.7515648335, -1.9163489346, 0.9531295756, 0.8449538245, 3.9638939006, 0.0000000000, 5.0000000000, 4.0576749165, 0.1555866000
          92, -0.2897668591, 0.1053100656, 0.0000000000, 0.0000000000, 0.0000000000, -0.3078965670, 0.1053100656, -0.2897668591, 0.0000000000, -2.7515590022, -1.9489771903, 0.9188680321, 0.8116989879, 3.9299636299, 0.0000000000, 5.0000000000, 4.2053832516, 0.1575353667
          93, -0.2901564738, 0.1054518738, 0.0000000000, 0.0000000000, 0.0000000000, -0.3084799048, 0.1054518738, -0.2901564738, 0.0000000000, -2.7515535135, -1.9838159457, 0.8824223560, 0.7763651640, 3.8938055334, 0.0000000000, 5.0000000000, 4.3663616973, 0.1595155667
          94, -0.2905214469, 0.1055847131, 0.0000000000, 0.0000000000, 0.0000000000, -0.3090293014, 0.1055847131, -0.2905214469, 0.0000000000, -2.7515483852, -2.0211872559, 0.8430936803, 0.7384574937, 3.8547896851, 0.0000000000, 5.0000000000, 4.5450544062, 0.1614814333
          95, -0.2908603294, 0.1057080563, 0.0000000000, 0.0000000000, 0.0000000000, -0.3095421432, 0.1057080563, -0.2908603294, 0.0000000000, -2.7515436351, -2.0611231401, 0.8011965002, 0.6978931057, 3.8132684490, 0.0000000000, 5.0000000000, 4.7448746246, 0.1634575500
          96, -0.2911716290, 0.1058213601, 0.0000000000, 0.0000000000, 0.0000000000, -0.3100157252, 0.1058213601, -0.2911716290, 0.0000000000, -2.7515392814, -2.1039266725, 0.7577747364, 0.6541383085, 3.7696204512, 0.0000000000, 5.0000000000, 4.9681269351, 0.1654248667
          97, -0.2914539628, 0.1059241212, 0.0000000000, 0.0000000000, 0.0000000000, -0.3104474837, 0.1059241212, -0.2914539628, 0.0000000000, -2.7515353409, -2.1506769952, 0.7100034905, 0.6064489034, 3.7216955776, 0.0000000000, 5.0000000000, 5.2190859575, 0.1673976500
          98, -0.2917063110, 0.1060159684, 0.0000000000, 0.0000000000, 0.0000000000, -0.3108353897, 0.1060159684, -0.2917063110, 0.0000000000, -2.7515318253, -2.2026334212, 0.6547110376, 0.5540239006, 3.6673751584, 0.0000000000, 6.0000000000, 5.5076915597, 0.1694952167
          99, -0.2919279884, 0.1060966523, 0.0000000000, 0.0000000000, 0.0000000000, -0.3111779177, 0.1060966523, -0.2919279884, 0.0000000000, -2.7515287421, -2.2600619782, 0.5949408431, 0.4957948264, 3.6079381788, 0.0000000000, 6.0000000000, 5.8471983191, 0.1715873667
         100, -0.2921184259, 0.1061659659, 0.0000000000, 0.0000000000, 0.0000000000, -0.3114737140, 0.1061659659, -0.2921184259, 0.0000000000, -2.7515260971, -2.3232699201, 0.5307343861, 0.4312824079, 3.5433625013, 0.0000000000, 6.0000000000, 6.2468647405, 0.1736897500
         101, -0.2922773608, 0.1062238135, 0.0000000000, 0.0000000000, 0.0000000000, -0.3117218937, 0.1062238135, -0.2922773608, 0.0000000000, -2.7515238922, -2.3937882820, 0.4590889706, 0.3593589087, 3.4714384950, 0.0000000000, 6.0000000000, 6.7184033449, 0.1804478667
         102, -0.2924052084, 0.1062703462, 0.0000000000, 0.0000000000, 0.0000000000, -0.3119226292, 0.1062703462, -0.2924052084, 0.0000000000, -2.7515221204, -2.4737675773, 0.3779353044, 0.2779247510, 3.3898868687, 0.0000000000, 6.0000000000, 7.2866054526, 0.1825718667
         103, -0.2925031925, 0.1063060095, 0.0000000000, 0.0000000000, 0.0000000000, -0.3120773736, 0.1063060095, -0.2925031925, 0.0000000000, -2.7515207635, -2.5656260773, 0.2854051372, 0.1841784020, 3.2963832446, 0.0000000000, 6.0000000000, 7.9894135555, 0.1846863000
         104, -0.2925734238, 0.1063315716, 0.0000000000, 0.0000000000, 0.0000000000, -0.3121890037, 0.1063315716, -0.2925734238, 0.0000000000, -2.7515197915, -2.6726611184, 0.1782566799, 0.0745007360, 3.1876941774, 0.0000000000, 7.0000000000, 8.8806376881, 0.1869616167
         105, -0.2926190521, 0.1063481790, 0.0000000000, 0.0000000000, 0.0000000000, -0.3122620836, 0.1063481790, -0.2926190521, 0.0000000000, -2.7515191602, -2.7995714434, 0.0510579014, -0.0562990303, 3.0582416628, 0.0000000000, 7.0000000000, 10.0452713485, 0.1892690333
         106, -0.2926443548, 0.1063573884, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123030313, 0.1063573884, -0.2926443548, 0.0000000000, -2.7515188101, -2.9521160669, -0.1006263329, -0.2153407658, 2.9020979392, 0.0000000000, 8.0000000000, 11.6256390543, 0.1917085500
         107, -0.2926546471, 0.1063611345, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123200096, 0.1063611345, -0.2926546471, 0.0000000000, -2.7515186677, -3.1376831123, -0.2812117456, -0.4125356961, 2.7106603280, 0.0000000000, 8.0000000000, 13.8576359169, 0.1942430000
         108, -0.2926558767, 0.1063615820, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123223140, 0.1063615820, -0.2926558767, 0.0000000000, -2.7515186507, -3.3593472664, -0.4797322200, -0.6567627863, 2.4823036893, 0.0000000000, 9.0000000000, 17.1582372897, 0.1970294667
         109, -0.2926536348, 0.1063607661, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123188149, 0.1063607661, -0.2926536348, 0.0000000000, -2.7515186818, -3.5957732689, -0.6482086800, -0.9287965794, 2.2486909549, 0.0000000000, 10.0000000000, 22.1464819440, 0.2001203000
         110, -0.2926516690, 0.1063600506, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123155718, 0.1063600506, -0.2926516690, 0.0000000000, -2.7515187089, -3.7749606320, -0.7430041432, -1.1252955331, 2.0918167023, 0.0000000000, 10.0000000000, 29.0748677449, 0.2033004333
         111, -0.2926509758, 0.1063597983, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123143130, 0.1063597983, -0.2926509758, 0.0000000000, -2.7515187184, -3.8693959869, -0.8011515706, -1.2193810242, 2.0085007883, 0.0000000000, 10.0000000000, 35.7364517460, 0.2064926000
         112, -0.2926509670, 0.1063597951, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123141740, 0.1063597951, -0.2926509670, 0.0000000000, -2.7515187184, -3.9259238462, -0.8514550937, -1.2839396536, 1.9479439438, 0.0000000000, 10.0000000000, 39.8408969150, 0.2096673833
         113, -0.2926511362, 0.1063598566, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123143460, 0.1063598566, -0.2926511362, 0.0000000000, -2.7515187161, -3.9692165737, -0.8964887779, -1.3333182782, 1.8985530546, 0.0000000000, 10.0000000000, 42.5199785298, 0.2128487667
         114, -0.2926513004, 0.1063599164, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123145276, 0.1063599164, -0.2926513004, 0.0000000000, -2.7515187138, -4.0078527827, -0.9379272961, -1.3757279424, 1.8547538281, 0.0000000000, 10.0000000000, 44.6929889680, 0.2160184000
         115, -0.2926514155, 0.1063599583, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123146410, 0.1063599583, -0.2926514155, 0.0000000000, -2.7515187122, -4.0441924026, -0.9766612312, -1.4149940118, 1.8142913647, 0.0000000000, 10.0000000000, 46.7258816644, 0.2191856667
         116, -0.2926514755, 0.1063599801, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123146708, 0.1063599801, -0.2926514755, 0.0000000000, -2.7515187114, -4.0792449049, -1.0133898939, -1.4521796098, 1.7763533946, 0.0000000000, 10.0000000000, 48.7222476319, 0.2223359833
         117, -0.2926514891, 0.1063599851, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123146271, 0.1063599851, -0.2926514891, 0.0000000000, -2.7515187112, -4.1147943575, -1.0494617610, -1.4886093517, 1.7398257240, 0.0000000000, 10.0000000000, 50.7286804823, 0.2254714333
         118, -0.2926514791, 0.1063599814, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123145446, 0.1063599814, -0.2926514791, 0.0000000000, -2.7515187114, -4.1540472022, -1.0874928484, -1.5269180345, 1.7025254213, 0.0000000000, 10.0000000000, 52.8479678532, 0.2286003167
         119, -0.2926514769, 0.1063599806, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123144743, 0.1063599806, -0.2926514769, 0.0000000000, -2.7515187115, -4.2015837237, -1.1317059327, -1.5713999274, 1.6606518891, 0.0000000000, 10.0000000000, 55.2910343492, 0.2317348333
         120, -0.2926515119, 0.1063599934, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123144662, 0.1063599934, -0.2926515119, 0.0000000000, -2.7515187110, -4.2628415970, -1.1876819525, -1.6277103514, 1.6087472682, 0.0000000000, 10.0000000000, 58.4013619622, 0.2348589500
         121, -0.2926516000, 0.1063600255, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123145491, 0.1063600255, -0.2926516000, 0.0000000000, -2.7515187098, -4.3436666122, -1.2618073992, -1.7022767080, 1.5401949276, 0.0000000000, 10.0000000000, 62.6688769349, 0.2379769500
         122, -0.2926517374, 0.1063600755, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123147205, 0.1063600755, -0.2926517374, 0.0000000000, -2.7515187079, -4.4503926553, -1.3610690474, -1.8020912124, 1.4476145412, 0.0000000000, 10.0000000000, 68.7803560290, 0.2410965000
         123, -0.2926519027, 0.1063601356, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123149482, 0.1063601356, -0.2926519027, 0.0000000000, -2.7515187056, -4.5905130811, -1.4935157416, -1.9351841288, 1.3225918421, 0.0000000000, 10.0000000000, 77.7727473965, 0.2442061667
         124, -0.2926520649, 0.1063601947, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123151828, 0.1063601947, -0.2926520649, 0.0000000000, -2.7515187034, -4.7738149979, -1.6693142582, -2.1116918743, 1.1546924512, 0.0000000000, 10.0000000000, 91.3876803516, 0.2473141333
         125, -0.2926521889, 0.1063602398, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123153670, 0.1063602398, -0.2926521889, 0.0000000000, -2.7515187017, -5.0139356583, -1.9023097230, -2.3454226772, 0.9298922180, 0.0000000000, 10.0000000000, 99.9000000000, 0.2505007167
         126, -0.2926522639, 0.1063602671, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123154804, 0.1063602671, -0.2926522639, 0.0000000000, -2.7515187007, -5.3048607199, -2.1860813293, -2.6300306093, 0.6533905054, 0.0000000000, 10.0000000000, 99.9000000000, 0.2536919833
         127, -0.2926523037, 0.1063602816, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123155411, 0.1063602816, -0.2926523037, 0.0000000000, -2.7515187001, -5.6272984763, -2.5013389478, -2.9461751135, 0.3441772249, 0.0000000000, 10.0000000000, 99.9000000000, 0.2567197333
         128, -0.2926523229, 0.1063602886, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123155707, 0.1063602886, -0.2926523229, 0.0000000000, -2.7515186998, -5.9768151988, -2.8440413344, -3.2896641108, 0.0069433933, 0.0000000000, 10.0000000000, 99.9000000000, 0.2596962500
         129, -0.2926523315, 0.1063602917, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123155841, 0.1063602917, -0.2926523315, 0.0000000000, -2.7515186997, -6.3509057194, -3.2115870647, -3.6578877873, -0.3555786500, 0.0000000000, 10.0000000000, 99.9000000000, 0.2626759333
         130, -0.2926523352, 0.1063602930, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123155898, 0.1063602930, -0.2926523352, 0.0000000000, -2.7515186997, -6.7474402624, -3.6017606941, -4.0486522098, -0.7410747659, 0.0000000000, 10.0000000000, 99.9000000000, 0.2656432667
         131, -0.2926523366, 0.1063602936, 0.0000000000, 0.0000000000, 0.0000000000, -0.3123155921, 0.1063602936, -0.2926523366, 0.0000000000, -2.7515186996, -7.1645915678, -4.0126640968, -4.4600773608, -1.1475706699, 0.0000000000, 10.0000000000, 99.9000000000, 0.2685860333
